	Molecule
856	Cc1cn2c(ncc(C(=O)Nc3nc(cs3)-c3ccccn3)c2=O)s1
857	Cc1cc(C)nc(Nc2ccc(cc2)C(=O)NCCO)n1
858	Cn1nc(cc1C(=O)Nc1nc(n[nH]1)C1CC1)-c1cccs1
859	CC(C)[C@H](N1Cc2ccccc2C1=O)C(=O)NCc1c(C)nn(C)c1C
860	Cc1nnsc1-c1nn2c(nnc2s1)-c1c(C)nn(C)c1C
861	CC[NH+]1CCC[C@@H]1CNC(=O)c1n[nH]c2CCCCc12
862	COc1cc2CC(=O)N(CC(=O)Nc3ccc4[nH]c(CCc5ccccc5)nc4c3)C=Cc2cc1OC
863	CCCn1cc(c(C)n1)-c1nnc2sc(nn12)-c1csnn1
864	COc1ccc(Cc2nc(NC(=O)c3cc([nH]n3)-c3ccc(OC)cc3)n[nH]2)cc1
865	COc1ccc2[nH]cc(CCNC(=O)[C@@H]3CCCN(C3)c3ccc(OC)nn3)c2c1
866	CC(C)c1cc(C(=O)N2CCC[NH+](C)CC2)n(n1)-c1ccccc1
867	COC(=O)CC1CCN(CC1)C(=O)[C@@H]1CCCN(C1)C(=O)c1ccc2cc[nH]c2c1
868	Cn1cccc1CNC(=O)Cc1ccc2CCOc2c1
869	CN1c2cccnc2Oc2ccc(NC(=O)C3CCCC3)cc2C1=O
870	CCOC(=O)Cc1csc(NC(=O)c2ccc3[nH]c(C)nc3c2)n1
871	Cc1ccc(cc1-n1cnnn1)C(=O)N1CC[C@]2(O)CCCC[C@@H]2C1
872	Cc1ccc(cc1-n1cnnn1)C(=O)N1CC[C@@]2(O)CCCC[C@@H]2C1
873	C[C@@H](C(=O)NCCCc1nnc2ccccn12)c1ccc(C[C@@H]2CCCC2=O)cc1
874	C[C@H](C(=O)NCCCc1nnc2ccccn12)c1ccc(C[C@H]2CCCC2=O)cc1
875	COc1ccc(NC(=O)c2[nH]nc3CCCc23)cn1
876	CC(C)n1nnc(n1)-c1ccc(cc1)C(=O)NCc1ccc(cc1)S(N)(=O)=O
877	CC(C)(C)OC(=O)NCC1CCC(CC1)C(=O)N1CC[C@@]2(O)CCCC[C@H]2C1
878	Cc1nc(C)c(s1)-c1nn2c(nnc2s1)C(F)(F)Cl
879	Brc1ccc2c(n[nH]c2c1)N1C[C@@H](CC1=O)C(=O)Nc1ccccn1
880	COc1ccc(nn1)N1CCC(CC1)C(=O)N1CCN(CC1)c1ccc(F)cc1
881	Brc1ccc2c(n[nH]c2c1)N1C[C@H](CC1=O)C(=O)NCc1ccco1
882	COC(=O)c1[nH]\c(=N\C(=O)c2ccccc2-n2cnnn2)sc1CC(C)C
883	CC(C)n1nnc(n1)-c1ccc(cc1)C(=O)NCCc1ccccn1
884	CC(C)(C)OC(=O)NC1CCN(CC1)C(=O)CC[C@@H]1NC(=O)c2ccccc2N=C1O
885	COCCn1ccc2c(cccc12)C(=O)NCc1cccn1C
886	Cc1ccc2c(cc(=O)oc2c1C)-c1cc2c(C[NH+]3CCN(CCO)CC3)cnc(C)c2o1
887	Cc1n[nH]c(c1CC(=O)NCc1c(C)nn(C)c1C)-c1ccc(Cl)cc1
888	COc1ccc(cc1)C(=O)CNC(=O)[C@@H]1CN(CC(C)C)C(=O)C1
889	Fc1ccc2ncn(CCNS(=O)(=O)c3cccc4nonc34)c(=O)c2c1
890	OC1=Nc2ccccc2C(=O)N[C@@H]1CC(=O)Nc1nnc(s1)C1CCC1
891	OC1=Nc2ccccc2C(=O)N[C@H]1CC(=O)Nc1nnc(s1)C1CCC1
892	Clc1ccc(cc1)[C@H](CC(=O)Nc1ccc2cc[nH]c2c1)Cn1cccc1
893	COc1ccccc1-n1c(C)cc(C(=O)NCc2ccncc2)c1C
894	COc1ccc(Cc2nnc(NC(=O)c3nc(Cl)sc3C(C)C)s2)cc1
895	C[C@H](NC(=O)Cn1ccc2c(C)cccc12)c1nnc2ccccn12
896	C[C@@H](NC(=O)Cn1ccc2c(C)cccc12)c1nnc2ccccn12
897	Clc1ccc(cc1)S(=O)(=O)N1CCN(CC1)C(=O)c1[nH]nc2CCCCc12
898	CC(C)c1n[n-]c(NC(=O)c2csc(NC3CC3)n2)n1
899	Cn1nc(cc1C(=O)NCCc1nnc2ccccn12)-c1cccs1
900	COCCn1cc(CC(=O)Nc2cccc(c2)-c2nc[nH]n2)c2ccccc12
901	Cc1nn(c2N=C(O)C[C@@]3(C(=O)Nc4ccccc34)c12)-c1ncnc2[nH]cnc12
902	COc1cccc2[nH]cc([C@H](CC(=O)NCc3ccco3)c3ccc(F)c(F)c3F)c12
903	CC[NH+]1CCC[C@@H]1CNC(=O)c1cnc2ccnn2c1C
904	COc1cccc2n(CC(=O)NCCCc3nnc4ccccn34)ccc12
905	Cc1cc(-c2nnc3sc(nn23)-c2cnccn2)n(C)n1
906	Cc1cc(C)nc(NCCCC(=O)NCCc2ccncc2)n1
907	Clc1ccc(NC(=O)[C@@H]2CN(C(=O)C2)c2n[nH]c3ccccc23)c(Cl)c1
908	O=C(Nc1nc(CCc2c[nH]c3ccccc23)n[nH]1)c1ccncc1
909	CC(C)(C)OC(=O)N1CCN(CC1)C(=O)C[C@H](Cn1cnnn1)c1ccc(Cl)cc1
910	Cc1cc(-c2nnc3sc(nn23)-c2cccc(OC(F)F)c2)n(C)n1
911	CC(C)n1cc(C(=O)NCCc2nnc3ccccn23)c2ccccc2c1=O
912	Cc1nn(C)c(C)c1-c1cc(n[nH]1)C(=O)NCc1nc2ccccc2[nH]1
913	COc1ccc(c(F)c1)-c1ccnc2nc(CCc3ccccc3)nn12
914	CC(C)Cn1nc(CC(=O)Nc2nncs2)c2ccccc2c1=O
915	Brc1ccc2ccn(CCNC(=O)c3[nH]nc4CCCc34)c2c1
916	COc1ccc(cc1)-c1[nH]nc(C)c1CC(=O)NCc1cccn1C
917	O=C(CCCn1nnc2ccccc2c1=O)Nc1nc(n[nH]1)C1CC1
918	Cc1nc(C(=O)NCc2cccnc2)c(s1)-c1ccccc1Cl
919	CC(C)n1cnc2ccc(NC(=O)CCn3c(C)cc([O-])cc3=O)cc2c1=O
920	COc1ccc(cc1)[C@@H]1[C@H](C(=O)NCc2cccnc2)c2ccccc2C(=O)N1C
921	COc1ccc(cc1)[C@@H]1[C@@H](C(=O)NCc2cccnc2)c2ccccc2C(=O)N1C
922	COc1ccc(cc1OC)-c1ccnc2nc(CC(C)C)nn12
923	O=C(Nc1nc(n[nH]1)[C@@H]1CCCO1)c1ccc2OCCCOc2c1
924	Cn1nnc(n1)-c1cccc(NC(=O)CC[C@H]2NC(=O)c3ccccc3N=C2O)c1
925	Cc1cc(=O)c(OCC(=O)NCCSc2ccc(Cl)cc2)c[nH]1
926	CC(C)Cn1ccc2c(NC(=O)CCc3c(C)noc3C)cccc12
927	CC[NH+]1CCC[C@@H]1CNC(=O)c1cc([nH]n1)-c1c(C)nn(C)c1C
928	CC[NH+]1CCC[C@H]1CNC(=O)c1cc([nH]n1)-c1c(C)nn(C)c1C
929	Cc1nn(C)c(C)c1CNC(=O)c1sc(nc1C)-c1ccc(Cl)cc1
930	COc1cccc2n(CCC(=O)NCc3nnc4ccccn34)ccc12
931	O=C(CCNc1ncccn1)Nc1ccc(Cn2cncn2)cc1
932	CC(C)(Oc1ccc(cc1)[C@H]1CC1(Cl)Cl)C(=O)Nc1cccc2[nH]ccc12
933	Cc1c(nn2c(ccnc12)-c1ccccc1O)-c1ccc(F)cc1
934	COc1ccc(cc1OC)-c1cc(n[nH]1)C(=O)NCc1nc2ccccc2n1C(C)C
935	Clc1ccc(cc1)-c1cc(n[nH]1)C(=O)N1CCN(CCc2ccncc2)CC1
936	Cc1ncc(C[NH+]2CCN(CCO)CC2)c2cc(oc12)C(=O)c1ccc2OCCOc2c1
937	Cc1cc(C)nc(n1)N1CCC[C@@H](C1)C(=O)NCCn1ccc2ccc(F)cc12
938	COc1ccc(nn1)N1CCC(CC1)C(=O)Nc1nc(C)c(C)s1
939	Brc1ccc2ccn(CCC(=O)N3CCC(CC3)c3nnc4ccccn34)c2c1
940	Cn1cccc1CNC(=O)CCCNc1ncccn1
941	CC(C)c1nc2cc(NC(=O)c3[nH]nc4CCCc34)ccc2n1C
942	O=C(CC1(CCCCC1)n1cccc1)Nc1nccs1
943	Cc1n[nH]c(c1Cl)-c1nn2c(nnc2s1)-c1c(Cl)cnn1C
944	Cn1ccc2c(NC(=O)CCCn3nnc4ccccc4c3=O)cccc12
945	Fc1cccc2[nH]nc(N3C[C@H](CC3=O)C(=O)NCc3ccccn3)c12
946	CC(C)n1c(CNC(=O)Cc2ccc3CCOc3c2)nc2ccccc12
947	COc1cn(CC(=O)Nc2cccc(SC)c2)c(C)cc1=O
948	CC(C)c1nnc(NC(=O)CC[C@@H]2NC(=O)c3ccccc3N=C2O)s1
949	Cc1cc(C)nc(n1)N1CCC[C@@H](C1)C(=O)N1CCC(CC1)NC(=O)OC(C)(C)C
950	Cc1cc(C)nc(n1)N1CCC[C@H](C1)C(=O)N1CCC(CC1)NC(=O)OC(C)(C)C
951	Cc1nnnn1-c1cccc(c1)C(=O)Nc1cccc2n(C)ccc12
952	CC(C)n1nc(O)c2c(-c3ccc(O)c(Cl)c3)c3oc4cc(O)ccc4c3nc12
953	CCOC(=O)Cc1csc(NC(=O)c2nc(C)sc2Cc2ccccc2)n1
954	CN1c2cccnc2Oc2ccc(NC(=O)[C@@H]3CCCO3)cc2C1=O
955	CN1c2cccnc2Oc2ccc(NC(=O)[C@H]3CCCO3)cc2C1=O
956	COC(=O)c1ccc(NC(=O)c2nc(Cl)sc2C(C)C)cc1
957	Fc1ccccc1CNC(=O)C[C@@H](Cn1cnnn1)c1ccc(Cl)cc1
958	Fc1ccccc1CNC(=O)C[C@H](Cn1cnnn1)c1ccc(Cl)cc1
959	COC(=O)c1[nH]\c(=N\C(=O)c2cc(n[nH]2)-c2ccccc2OC)sc1C(C)C
960	COc1ccc(Cc2n[nH]c(NC(=O)CCn3cnc4ccccc4c3=O)n2)cc1
961	OC1(CCN(CC1)C(=O)Cc1ccc2CCOc2c1)c1ccc(Cl)cc1
962	Cc1nn(c2N=C(O)C[C@]3(C(=O)N(Cc4ccccc4Cl)c4ccccc34)c12)-c1ncnc2[nH]cnc12
963	COCCn1c(cc2ccccc12)C(=O)NCC(=O)c1ccccc1
964	CC[NH+]1CCC[C@@H]1CNC(=O)Cc1nn(C(C)C)c(=O)c2ccccc12
965	CC[NH+]1CCC[C@H]1CNC(=O)Cc1nn(C(C)C)c(=O)c2ccccc12
966	Cc1cc(=O)c(OCC(=O)NCCc2c[nH]c3ccc(F)cc23)c[nH]1
967	COC(=O)C[C@H](c1cn[nH]c1-c1ccccc1)c1c(C)[nH]nc1O
968	CCOC(=O)c1s\c(=N\C(=O)CCC(=O)N2CCNC(=O)C2)[nH]c1C
969	COc1ccc(NC(=O)CCc2nnc3ccccn3c2=O)cc1
970	CC(C)c1sc(Cl)nc1C(=O)Nc1ccc(F)c(F)c1F
971	Cc1nn(C)c(C)c1CNC(=O)Cc1csc(n1)-c1cccs1
972	Clc1ccc(cc1)[C@H](CC(=O)N1CCN(Cc2ccc3OCOc3c2)CC1)Cn1cnnn1
973	Cc1nc2ccc(F)cc2c(=O)n1CC(=O)Nc1cnn(C)c1
974	COc1ccc(cc1OC)-c1cc(n[nH]1)C(=O)Nc1c(C)nn(C)c1C
975	CC(C)[C@@H](N1Cc2ccccc2C1=O)C(=O)NCCCc1nnc2ccccn12
976	Cn1c2ccccc2c(cc1=O)C(=O)NCCCCCc1nnc2ccccn12
977	COc1ccc(cc1)C(=O)CNC(=O)CCn1ccc2ccccc12
978	COc1cn(CC(=O)N[C@H](C)CCc2ccccc2)c(C[NH+]2CCCCC2)cc1=O
979	CC(=O)N1CCN(CC1)C(=O)c1cccc(Nc2ncccn2)c1
980	CC(C)Cc1n[nH]c(NC(=O)[C@H]2CN(C(=O)C2)c2ccccc2)n1
981	Cc1nc2ccccc2c(=O)n1CCNS(=O)(=O)c1cc(Cl)ccc1Cl
982	Cn1nc(cc1C(=O)Nc1cccc2[nH]ccc12)-c1ccc(Cl)cc1
983	Cc1n[nH]c(c1CC(=O)NCCc1ccncc1)-c1ccc(F)cc1
984	C[NH+]1CCCN(CC1)C(=O)c1cc(C)nc2n(ncc12)C1CCCC1
985	CC1(C)Cc2c(CO1)c(nc(NCc1ccco1)c2C#N)N1CCOCC1
986	COc1cc2nc(C)n(CCNC(=O)c3ccccc3OC)c(=O)c2cc1OC
987	CC(C)n1ncc2c(-c3ccc4n(C)c(=O)n(C)c4c3)c3oc4cc(O)ccc4c3nc12
988	O=C(Cc1n[nH]c(=O)c2ccccc12)NCCCc1nnc2ccccn12
989	CC(C)c1n[nH]c(NC(=O)c2ccc(cc2)-c2nnn(n2)C(C)C)n1
990	Cn1nc(cc1C(=O)NCCc1nnc2ccccn12)-c1ccccc1Cl
991	CCCc1nc(sc1C(=O)N1CCc2cc(OC)c(OC)cc2C1)-n1cccc1
992	CCOC(=O)c1c(NC(=O)C(C)C)sc2Cc3cc(OC)c(OC)cc3-c12
993	COc1ccc(cc1)N1CCN(CC1)C(=O)[C@@H]1CCCN(C1)c1ccc(OC)nn1
994	COc1ccc(cc1)N1CCN(CC1)C(=O)[C@H]1CCCN(C1)c1ccc(OC)nn1
995	COc1cccc(c1OC)-c1c2oc3cc(O)ccc3c2nc2n(nc(O)c12)C1CCCC1
996	CC(C)n1cnc2ccc(NC(=O)CCCc3ccccc3)cc2c1=O
997	CC(C)c1sc(Cl)nc1C(=O)Nc1ccc2OCCOc2c1
998	CC(C)n1ccc2c(cccc12)C(=O)Nc1cccc(c1)-c1nnn(C)n1
999	Cn1cc(C(=O)NC2CC(C)(C)[NH2+]C(C)(C)C2)c2ccccc12
1000	COc1ccc(CCc2nc3nccc(-c4cc(OC)c(OC)c(OC)c4)n3n2)cc1OC
1001	Cc1c[nH]\c(=N/C(=O)COc2c[nH]c(C)cc2=O)s1
1002	CN(C)S(=O)(=O)c1cccc(c1)C(=O)Nc1ccc2Oc3ncccc3N(C)C(=O)c2c1
1003	CCOC(=O)N1CCN(CC1)C(=O)CC1(CCCCC1)n1cccc1
1004	C[NH+](C)CCCNC(=O)[C@H]1CN(C(=O)C1)c1n[nH]c2cc(Br)ccc12
1005	C[NH+](C)CCCNC(=O)[C@@H]1CN(C(=O)C1)c1n[nH]c2cc(Br)ccc12
1006	Cc1ccc2c(cc(=O)oc2c1C)-c1cc2c(C[NH2+]C[C@@H]3CCCO3)cnc(C)c2o1
1007	CC[NH+]1CCC[C@H]1CNC(=O)c1ccc2[nH]ccc2c1
1008	COC(=O)C[C@H](C(C)C)c1oc(CSc2ccccc2Cl)cc(=O)c1O
1009	CSc1nc(N2CCN(CC(=O)N(C)c3ccccc3)CC2)c2COC(C)(C)Cc2c1C#N
1010	Cc1nc(C(=O)Nc2cnn(C)c2)c(s1)-c1ccccc1Cl
1011	COCc1cc(=O)c(O)c(o1)[C@H](CC(=O)OC)c1cnn2cccnc12
1012	CCOC(=O)N1CCN(CC1)C(=O)C[C@H](Cn1cccc1)c1ccc(Cl)cc1
1013	NC(=O)COc1ccc(cc1)-c1c2oc3cc(O)ccc3c2nc2n(nc(O)c12)C1CCCC1
1014	Cc1cc(C)nc(Nc2cccc(c2)C(=O)N2CCN(CCc3ccncc3)CC2)n1
1015	NC(=O)c1ccc(NC(=O)[C@H]2CN(C(=O)C2)c2n[nH]c3cccc(F)c23)cc1
1016	NC(=O)c1ccc(NC(=O)[C@@H]2CN(C(=O)C2)c2n[nH]c3cccc(F)c23)cc1
1017	C[C@H](NC(=O)CC[C@H]1NC(=O)c2ccccc2N=C1O)C12CC3CC(CC(C3)C1)C2
1018	C[C@H](NC(=O)CC[C@@H]1NC(=O)c2ccccc2N=C1O)C12CC3CC(CC(C3)C1)C2
1019	C[C@@H](NC(=O)CC[C@@H]1NC(=O)c2ccccc2N=C1O)C12CC3CC(CC(C3)C1)C2
1020	CC(C)Cn1nc(CC(=O)Nc2cccc3n(C)ccc23)c2ccccc2c1=O
1021	COc1ccc(nn1)N1CCC(CC1)C(=O)Nc1ccc2cc[nH]c2c1
1022	Cc1nn(C)c(C)c1CNC(=O)c1ccc(cc1Cl)N1CCCCS1(=O)=O
1023	O=C(NCCn1cnc2ccccc12)[C@@H](c1ccccc1)n1cnnn1
1024	O=C(Nc1nc(cs1)-c1ccncc1)c1n[nH]c2CCCc12
1025	Cc1cc(no1)-c1nn2c(nnc2s1)-c1snnc1C
1026	Cc1ccc2c(cc(=O)oc2c1)-c1cc2c(C[NH+]3CCCC[C@@H]3CCO)cnc(C)c2o1
1027	Cc1ccc2c(cc(=O)oc2c1)-c1cc2c(C[NH+]3CCCC[C@H]3CCO)cnc(C)c2o1
1028	COCCn1cnc2ccc(NC(=O)CCn3c(C)cc([O-])cc3=O)cc2c1=O
1029	O=C(Nc1nc(CCc2c[nH]c3ccccc23)n[nH]1)C1CCCCC1
1030	Cc1cc(C)nc(NCCC(=O)Nc2nc[nH]n2)n1
1031	COCc1nc(n[nH]1)-c1cccc(NC(=O)c2cccc(Nc3ncccn3)c2)c1
1032	Cc1nn(c2N=C(O)C[C@]3(C(=O)N(CC#C)c4c3cc(Cl)cc4Cl)c12)-c1ncnc2[nH]cnc12
1033	COc1cc2CC(=O)N(CC(=O)Nc3cccc(Br)c3)C=Cc2cc1OC
1034	Clc1ccc(SCCNC(=O)C2CCN(CC2)c2ncnc3[nH]cnc23)cc1
1035	Clc1ccc(cc1)[C@H](CC(=O)NCc1ccccn1)Cn1cccc1
1036	CC[NH+]1CCC[C@@H]1CNC(=O)c1cc([nH]n1)-c1ccc(OC)cc1
1037	Cc1nn(C)c(C)c1-c1cc(n[nH]1)C(=O)NCCc1ccco1
1038	CC(C)Cn1cc(C(=O)NCCCCCc2nnc3ccccn23)c2ccccc2c1=O
1039	COc1cccc2n(CCNC(=O)c3ccc4cc[nH]c4c3)ccc12
1040	COc1cc2ncn(CC(=O)Nc3ccc4[nH]c(CC(C)C)nc4c3)c(=O)c2cc1OC
1041	Cn1nnc(n1)-c1cccc(NC(=O)c2cn(C)c3ccccc23)c1
1042	Fc1cccc2[nH]nc(N3C[C@H](CC3=O)C(=O)NCC(=O)c3ccccc3)c12
1043	CC(C)c1sc(Cl)nc1C(=O)Nc1nc2CCCc2s1
1044	COc1ccc(cc1)S(=O)(=O)CCNC(=O)COc1cn(C)c(C)cc1=O
1045	COCCn1ccc2c(NC(=O)[C@H]3CCCN(C3)S(=O)(=O)c3ccccc3)cccc12
1046	COc1ccc(nn1)N1CCC[C@H](C1)C(=O)NCCc1ccc(OC)c(OC)c1
1047	O=C(Nc1nc(cs1)-c1cccs1)[C@H](c1ccccc1)n1cnnn1
1048	O=C(Cc1ccc2CCOc2c1)NCCn1c2ccccc2[nH]c(=O)c1=O
1049	Cc1nc2ncccc2c(=O)n1CCNC(=O)C1CCCCC1
1050	COC(=O)c1[nH]\c(=N/C(=O)c2nn(C)c3ccccc23)sc1CC(C)C
1051	Cc1nc2c3ccc(Br)cc3nn2c(C)c1CC(=O)NCCc1ccco1
1052	CCn1nc(C)c(c1C)-c1cc(n[nH]1)C(=O)NCCc1c[nH]c2ccccc12
1053	CC(C)[C@@H]1Nc2ccccc2C(=O)N1CC(=O)NCc1ccccn1
1054	CC(C)[C@H]1Nc2ccccc2C(=O)N1CC(=O)NCc1ccccn1
1055	COc1cc2CC(=O)N(CC(=O)Nc3nc4ccc(C)cc4s3)C=Cc2cc1OC
1056	O=C(NCc1ccco1)[C@H]1CN(C(=O)C1)c1n[nH]c2ccccc12
1057	CC(C)[C@@H](N1Cc2ccccc2C1=O)C(=O)Nc1cccc2n(C)ccc12
1058	COC(=O)C[C@@H](c1c(Cl)nc2sccn12)c1oc(C)cc(=O)c1O
1059	Cc1nn(C)c(C)c1-c1cc(n[nH]1)C(=O)Nc1cnn(C)c1
1060	COc1ccc(NC(=O)COc2coc(C[NH+]3CCCCCC3)cc2=O)c(OC)c1
1061	O=C(NCCN1CCOCC1)c1cn(-c2ccccc2)c(=O)c2ccccc12
1062	COCCn1ccc2cc(ccc12)C(=O)\N=c1\[nH]c(C(=O)OC)c(C)s1
1063	O=C(Nc1nc(cs1)-c1cccnc1)c1n[nH]c2CCCCc12
1064	COC(=O)C[C@@H](c1cnn(C)c1)c1oc(CSc2ccccc2)cc(=O)c1O
1065	COc1ccc2n(CCC(=O)NCc3nc4ccccc4[nH]3)ccc2c1
1066	C[NH+](C)CCCn1cnc2cc(NC(=O)c3ccc4n(C)ccc4c3)ccc12
1067	COCCn1ccc2c(NC(=O)c3cccc(c3)-n3nnnc3C)cccc12
1068	O=C(CCCn1cnc2ccccc2c1=O)NCCc1nnc2ccccn12
1069	COc1cc2CC(=O)N(CC(=O)Nc3ccc(cc3)N3CCCS3(=O)=O)C=Cc2cc1OC
1070	Cc1nn(C)c(C)c1-c1nnc2sc(nn12)-c1cncc(Br)c1
1071	COc1ccc(cc1)C(=O)CNC(=O)c1ccccc1-n1nnnc1C
1072	Fc1cccc2[nH]nc(NC(=O)c3ccc(Cl)c(c3)N3CCCCS3(=O)=O)c12
1073	Cc1cc(C)nc(Nc2ccc(cc2)C(=O)NCCCO)n1
1074	O=C(NCCn1c2ccccc2[nH]c(=O)c1=O)c1ccc(Nc2ncccn2)cc1
1075	CC(C)n1c(CNC(=O)[C@@H](c2ccccc2)n2cnnn2)nc2ccccc12
1076	CC(C)n1ccc2c(cccc12)C(=O)Nc1ccn(C)n1
1077	COc1cccc2n(CCNC(=O)CCC(=O)\N=c3/[nH]c(C([O-])=O)c(CC(C)C)s3)ccc12
1078	COc1ccc2[nH]c(=O)c(cc2c1)-c1c2oc3cc(O)ccc3c2nc2n([nH]c(=O)c12)C1CCCCC1
1079	CC[NH+]1CCC[C@@H]1CNC(=O)CCc1c(C)n[nH]c1C
1080	COC(=O)C[C@H](c1cccnc1)c1oc(CSc2ccc3ccccc3c2)cc(=O)c1O
1081	CN1c2cccnc2Oc2ccc(NC(=O)c3ccc(C)n(C)c3=O)cc2C1=O
1082	O=C(Nc1ccc2cc[nH]c2c1)c1cccc(Nc2ncccn2)c1
1083	Cc1cc(on1)-c1nn2c(nnc2s1)-c1cc(F)ccc1Cl
1084	CCOC(=O)c1s\c(=N/C(=O)c2nc(C)sc2Cc2ccccc2)[nH]c1C
1085	Cn1ccc2c(NC(=O)Cc3ccc(cc3)-n3cnnn3)cccc12
1086	COc1cccc2n(CC(=O)Nc3nc(n[n-]3)C(F)(F)F)ccc12
1087	Clc1ccc(nn1)N1CCC[C@H](C1)C(=O)N1CCO[C@@H](C1)c1ccccc1
1088	O=C(Nc1n[nH]c(n1)[C@H]1CCCO1)c1cc([nH]n1)-c1ccccc1
1089	CC(C)(C)OC(=O)NCC1CCC(CC1)C(=O)Nc1cccc2[nH]ccc12
1090	CC(C)n1nccc1[C@@H](CC([O-])=O)c1c([O-])cc(C)[nH]c1=O
1091	Cc1n[nH]c(c1CC(=O)N1CC[NH+](CCc2ccccn2)CC1)-c1ccc(Cl)cc1
1092	COc1ccccc1CN1C[C@@H](CC1=O)C(=O)NCCc1nnc2ccccn12
1093	COc1ccccc1CN1C[C@H](CC1=O)C(=O)NCCc1nnc2ccccn12
1094	CC1(C)C[C@@H](CCO1)[NH2+]CC[C@@]1(CCOC(C)(C)C1)c1ccc(Cl)cc1
1095	CC1(C)C[C@H](CCO1)[NH2+]CC[C@@]1(CCOC(C)(C)C1)c1ccc(Cl)cc1
1096	COC(=O)C[C@@H](c1sc(nc1C)N(C)C)c1oc(C)cc(=O)c1O
1097	COC(=O)C[C@H](c1sc(nc1C)N(C)C)c1oc(C)cc(=O)c1O
1098	COc1ccc(cc1)[C@H]1[C@@H](C(=O)NCCc2c[nH+]c[nH]2)c2ccccc2C(=O)N1C
1099	CC(C)n1ccc2c(cccc12)C(=O)N1CCN(CC1)C(C)=O
1100	COC(=O)c1[nH]\c(=N\C(=O)[C@H](c2ccccc2)n2cnnn2)sc1CC(C)C
1101	Cc1cc(=O)c(OCC(=O)N2CCN(CC2)c2ccc(cn2)C(F)(F)F)c[nH]1
1102	CSc1nc(N2CCN(Cc3ccc(Cl)cc3)CC2)c2COC(C)(C)Cc2c1C#N
1103	Cc1c(sc2nc[nH]c(=O)c12)C(=O)Nc1cccc2[nH]ccc12
1104	O=C([C@@H]1CN(C(=O)C1)c1n[nH]c2ccccc12)N1CCOCC1
1105	CC(C)c1nc(C)sc1-c1nn2c(Cc3cc(F)cc(F)c3)nnc2s1
1106	COc1ccc(NC(=O)COc2c[nH]c(C)cc2=O)cn1
1107	Fc1ccc(C[NH+]2CCC(CC2)NC(=O)c2ccc3cc[nH]c3c2)cc1
1108	CN1[C@@H]([C@H](C(=O)NCCc2c[nH+]c[nH]2)c2ccccc2C1=O)c1ccc2OCOc2c1
1109	CN1[C@@H]([C@@H](C(=O)NCCc2c[nH+]c[nH]2)c2ccccc2C1=O)c1ccc2OCOc2c1
1110	CC(C)(C)c1csc(CCNC(=O)c2cc(ccc2F)-n2cnnn2)n1
1111	Cc1nnnn1-c1ccc(cc1)C(=O)NCc1cccnc1
1112	COCCn1ccc2c(cccc12)C(=O)NCc1nnc2ccccn12
1113	COc1ccccc1-c1cc(n[nH]1)C(=O)NCCCc1nnc2ccccn12
1114	Cn1ncc(Cl)c1-c1nnc2sc(Cc3ccc(F)cc3)nn12
1115	Cc1cc([O-])cc(=O)n1CCC(=O)Nc1nnc(s1)C1CC1
1116	COCc1cc(=O)c(O)c(o1)[C@H](CC(=O)OC)c1ccccc1F
1117	Cn1c2ccccc2cc(-c2c3oc4cc(O)ccc4c3nc3n(nc(O)c23)C2CCCC2)c1=O
1118	Cn1nc(cc1C(=O)NCc1nnc2ccccn12)-c1ccccc1Cl
1119	O=C(CCc1nnc2ccccn2c1=O)NCc1cccnc1
1120	O=C(Cc1csc(n1)-c1ccccc1)NCCc1nnc2ccccn12
1121	CCCc1cc(=O)oc2c(CN3CCO[C@@H](C3)c3ccccc3)c(O)ccc12
1122	CCCc1cc(=O)oc2c(CN3CCO[C@H](C3)c3ccccc3)c(O)ccc12
1123	CC(C)Cc1cc(-c2nnc3sc(nn23)-c2cc(C)no2)n(C)n1
1124	COCCCNC(=O)[C@H]1CN(C(=O)C1)c1n[nH]c2cc(Br)ccc12
1125	COCCn1ccc2c(NC(=O)c3ccccc3-n3cnnn3)cccc12
1126	Cn1cnc2ccc(NC(=O)c3cc(=O)[nH]c4ccccc34)cc2c1=O
1127	Cn1c(CCc2ccccc2)nc2cc(NC(=O)CC[C@H]3NC(=O)c4ccccc4N=C3O)ccc12
1128	Cn1c(CCc2ccccc2)nc2cc(NC(=O)CC[C@@H]3NC(=O)c4ccccc4N=C3O)ccc12
1129	COc1ccc2n(cc(C(=O)N=c3[nH]cc[nH]3)c2c1)C(C)C
1130	COCc1nnc(NC(=O)CCc2c(C)c3cc4c(C)c(C)oc4c(C)c3oc2=O)s1
1131	COc1ccccc1N1CCN(Cc2c(O)c(=O)cc(CN3CCOCC3)n2C)CC1
1132	COc1cc2CCN(Cc2cc1OC)C(=O)Cn1c(C)nc2ccc(F)cc2c1=O
1133	O=C(CCn1ccc2ccccc12)Nc1cccc2[nH]ccc12
1134	COCCn1cc(CC(=O)NCCc2nc3ccccc3n2C)c2ccccc12
1135	COC(=O)c1[nH]\c(=N/C(=O)Cn2c(C)nc3ccc(F)cc3c2=O)sc1CCc1ccccc1
1136	Cc1cc2OC(=O)C[C@@H](c3cccnc3N3CCCCC3)c2c(=O)[nH]1
1137	COCCN1C(=O)c2ccccc2[C@H](C(=O)NCCC(=O)OC)C11CCCC1
